"Replicate.Name","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Average.Rt.min.","Metabolite.name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","RT.similarity","S.N.average","Spectrum.reference.file.name"
"190912_Blk_HBlk1_A.0.3",16466631,311.283,6.684,2250.319,"4143","6.665","FA 20:4_IS","[M-H]-","FALSE","6.7","311.28299","G;","100","1911.3","190912_Std_FA-IS-InSolvent_1"
"190912_Blk_HBlk1_A.0.3",4486840,311.296,12.532,407.5382,"4145","12.477","FA 20:0","[M-H]-","FALSE","12.5","311.29501","G; peaks at 10.8 is not it","100","529.46","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",288649,325.312,13.813,34.60928,"4587","13.75","FA 21:0","[M-H]-","FALSE","13.8","325.31067","Not Sure","100","45.55","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",7398546,327.234,6.448,522.8425,"4650","6.424","FA 22:6_Std","[M-H]-","FALSE","6.4","327.23239","G;","100","7428.18","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.3",833156,329.249,7.337,74.67299,"4725","7.312","FA 22:5","[M-H]-","FALSE","7","329.24805","ok","100","324.21","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.3",540983,331.265,8.299,4.553407,"4789","8.13","FA 22:4","[M-H]-","FALSE","8","331.2637","ok","100","76.75","190912_Smp_HU12_B_0-3"
"190912_Blk_HBlk1_A.0.3",235261584,332.264,6.42,24645.46,"4817","6.395","FA 22:6_IS","[M-H]-","FALSE","6.4","332.26431","G;","100","23200.92","190912_Std_FA-IS-InSolvent_1"
"190912_Blk_HBlk1_A.0.3",40649,333.28,9.573,2.457483,"4858","9.397","FA 22:3","[M-H]-","FALSE","9.1","333.27936","ok","96.3","11.08","190912_Smp_HS6C3D400_C-0-2"
"190912_Blk_HBlk1_A.0.3",50242,335.296,10.866,10.73929,"4910","10.78","FA 22:2","[M-H]-","FALSE","10.8","335.29501","Not sure","100","42.23","190912_Smp_HS6C3D400_C-0-2"
"190912_Blk_HBlk1_A.0.3",1863876,337.312,12.677,174.8745,"4970","12.616","FA 22:1_Std","[M-H]-","FALSE","12.6","337.31067","ok","99.9","624.43","190912_Std_FA-StdsInSolvent_2"
"190912_Blk_HBlk1_A.0.3",1758878,339.327,15.087,111.4974,"5044","15.03","FA 22:0","[M-H]-","FALSE","15.1","339.32629","G;","100","174.15","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",782282,353.343,16.359,65.34965,"5461","16.287","FA 23:0","[M-H]-","FALSE","16.3","353.34195","ok","99.9","113.61","190912_Smp_HS6C3D400_C-0-2"
"190912_Blk_HBlk1_A.0.3",2224,355.265,7.571,1.083899,"5503","7.544","FA 24:6","[M-H]-","FALSE","7.5","355.2637","ok","99.9","39.74","190912_Smp_HU12_C_0-3"
